,day,hour,zone,host,IP,request,status,ret_size,browser
0,23/Feb/2014,03:10:31,+01,localhost,127.0.0.1,OPTIONS * HTTP/1.0,200,-,Apache (internal dummy connection)
1,23/Feb/2014,03:10:31,+01,localhost,127.0.0.1,OPTIONS * HTTP/1.0,200,-,Apache (internal dummy connection)
2,23/Feb/2014,03:10:31,+01,localhost,127.0.0.1,OPTIONS * HTTP/1.0,200,-,Apache (internal dummy connection)
3,23/Feb/2014,03:10:31,+01,localhost,127.0.0.1,OPTIONS * HTTP/1.0,200,-,Apache (internal dummy connection)
4,23/Feb/2014,03:10:31,+01,localhost,127.0.0.1,OPTIONS * HTTP/1.0,200,-,Apache (internal dummy connection)
5,23/Feb/2014,03:10:31,+01,localhost,127.0.0.1,OPTIONS * HTTP/1.0,200,-,Apache (internal dummy connection)
6,23/Feb/2014,03:10:31,+01,localhost,127.0.0.1,OPTIONS * HTTP/1.0,200,-,Apache (internal dummy connection)
7,23/Feb/2014,03:10:31,+01,localhost,127.0.0.1,OPTIONS * HTTP/1.0,200,-,Apache (internal dummy connection)
8,23/Feb/2014,03:10:31,+01,localhost,127.0.0.1,OPTIONS * HTTP/1.0,200,-,Apache (internal dummy connection)
9,23/Feb/2014,03:10:31,+01,localhost,127.0.0.1,OPTIONS * HTTP/1.0,200,-,Apache (internal dummy connection)
10,23/Feb/2014,03:10:31,+01,localhost,127.0.0.1,OPTIONS * HTTP/1.0,200,-,Apache (internal dummy connection)
11,23/Feb/2014,03:10:31,+01,localhost,127.0.0.1,OPTIONS * HTTP/1.0,200,-,Apache (internal dummy connection)
12,23/Feb/2014,03:10:31,+01,localhost,127.0.0.1,OPTIONS * HTTP/1.0,200,-,Apache (internal dummy connection)
13,23/Feb/2014,03:10:31,+01,localhost,127.0.0.1,OPTIONS * HTTP/1.0,200,-,Apache (internal dummy connection)
14,23/Feb/2014,03:10:31,+01,localhost,127.0.0.1,OPTIONS * HTTP/1.0,200,-,Apache (internal dummy connection)
